date,EUR_TRY,GBP_TRY,USD_TRY,RUB_TRY,TR_TUFE,DE_TUFE,GB_TUFE,US_TUFE,RU_TUFE,trends_DE_Türkei_Urlaub,trends_DE_Antalya_Hotel,trends_GB_Turkey_holiday,trends_GB_Antalya_hotel,trends_SA_السياحة_في_تركيا,trends_AE_سياحة_تركيا,trends_RU_Турция_отдых,trends_RU_Анталья_отель,arrivals_total,real_EUR_TRY,real_GBP_TRY,real_USD_TRY,real_RUB_TRY,covid,russia_war,mideast,war_pulse,mideast_pulse,covid_crash_pulse,covid_rebound_pulse
2010-01-01,2.09727,2.37144,1.46632,,174.07,69.5,88.8,217.488,63.95391,22.0,9.0,64.0,17.0,0.0,0.0,37.0,0.0,,95.41496345871708,76.01064319052911,74.14929881357547,,0,0,0,0,0,0,0
2010-02-01,2.063935,2.35844,1.50556,,176.59,69.77,89.0,217.281,64.50391,23.0,10.0,57.0,16.0,0.0,0.0,45.0,0.0,,92.91801013239946,74.68303559531812,74.975717872282,,0,0,0,0,0,0,0
2010-03-01,2.0755087,2.30016957,1.52831304,,177.62,70.16,89.4,217.353,64.91029,25.0,12.0,66.0,19.0,0.0,0.0,56.0,0.0,,93.41648914124427,72.74091115789558,75.69252829921759,,0,0,0,0,0,0,0
2010-04-01,1.99937143,2.2775,1.48787143,0.05035071,178.68,70.07,89.9,217.403,65.09853000000001,23.0,10.0,72.0,22.0,0.0,73.0,78.0,0.0,,89.34102362435155,71.99715966937484,73.26927826456703,107.43459849262773,0,0,0,0,0,0,0
2010-05-01,1.93951,2.258215,1.534805,0.050135,178.04,70.15,90.1,217.29,65.42403,29.0,13.0,82.0,24.0,0.0,100.0,100.0,0.0,,87.07698458600187,71.80351804702748,75.81275512978907,107.89567943145506,0,0,0,0,0,0,0
2010-06-01,1.91805455,2.31121818,1.57028636,0.04986,177.04,70.17,90.2,217.199,65.67918,35.0,13.0,96.0,27.0,63.0,82.0,87.0,0.0,,86.62481068792661,73.98595971076661,77.97083745465908,108.33079328299875,0,0,0,0,0,0,0
2010-07-01,1.95610455,2.34242727,1.53631364,0.04964955,176.19,70.36,90.0,217.605,65.91563000000001,36.0,14.0,100.0,26.0,100.0,0.0,95.0,0.0,,89.00981674859447,75.17970188710798,76.79526104843288,108.78419353468524,0,0,0,0,0,0,0
2010-08-01,1.94183333,2.35254286,1.50162857,0.0490919,176.9,70.41,90.4,217.923,66.27816,35.0,14.0,78.0,22.0,69.0,0.0,66.0,0.0,,88.06832389107801,75.5355458571615,74.86945618855265,107.71985973954949,0,0,0,0,0,0,0
2010-09-01,1.943795,2.314245,1.488915,0.047952,179.07,70.31,90.4,218.275,66.83489,25.0,10.0,53.0,17.0,0.0,0.0,41.0,0.0,,86.96529878871684,73.40542559237984,73.45442925037516,104.81669403494796,0,0,0,0,0,0,0
2010-10-01,1.97017,2.247575,1.41846,0.046434,182.35,70.38,90.6,219.035,67.16906999999999,20.0,9.0,28.0,10.0,50.0,54.0,21.0,0.0,,86.64598935411031,70.16327507539877,68.95912827950616,100.1712268374142,0,0,0,0,0,0,0
